order_id,order_date,ship_date,ship_mode,customer_id,country,city,state,postal_code,region
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,United States,Los Angeles,California,90036,West
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,South
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,United States,Los Angeles,California,90032,West
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,United States,Concord,North Carolina,28027,South
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,United States,Seattle,Washington,98103,West
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,United States,Fort Worth,Texas,76106,Central
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,United States,Madison,Wisconsin,53711,Central
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,United States,West Jordan,Utah,84084,West
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,United States,San Francisco,California,94109,West
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,United States,Fremont,Nebraska,68025,Central
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,United States,Philadelphia,Pennsylvania,19140,East
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,United States,Orem,Utah,84057,West
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,United States,Los Angeles,California,90049,West
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,United States,Houston,Texas,77095,Central
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,United States,Richardson,Texas,75080,Central
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,United States,Houston,Texas,77041,Central
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,United States,Naperville,Illinois,60540,Central
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,United States,Los Angeles,California,90049,West
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,United States,Melbourne,Florida,32935,South
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,United States,Eagan,Minnesota,55122,Central
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,United States,Westland,Michigan,48185,Central
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,United States,Dover,Delaware,19901,East
